timestamp,income,allExpense,balance,educationalExpense,rentAdjustmentExpense,recreationalExpense,shelterExpense,foodExpense
1/3/2022,4749.594721,-1789.229213,2960.365508,-91.14351385,-77.23452051,-43.28471189,-1562.725994,-14.84047265
2/3/2022,800,-2156.877565,-1356.877565,0,-802.2889979,-42.42010959,-1297.327985,-14.84047265
3/3/2022,800,-1771.980781,-971.9807813,0,-778.7602802,-40.81129978,-937.5687287,-14.84047265
4/3/2022,800,-55.65177243,744.3482276,0,0,-40.81129978,0,-14.84047265
5/3/2022,517.5746842,-57.26058224,460.314102,0,0,-42.42010959,0,-14.84047265
6/3/2022,517.5746842,-53.72557311,463.8491111,0,0,-38.88510046,0,-14.84047265
7/3/2022,800,-53.17836033,746.8216397,0,0,-38.33788768,0,-14.84047265
8/3/2022,800,-52.58589151,747.4141085,0,0,-37.74541886,0,-14.84047265
9/3/2022,800,-56.88847849,743.1115215,0,0,-42.04800584,0,-14.84047265
10/3/2022,800,-51.36890035,748.6310997,0,0,-36.5284277,0,-14.84047265
11/3/2022,800,-55.65177243,744.3482276,0,0,-40.81129978,0,-14.84047265
12/3/2022,517.5746842,-58.12518454,459.4494997,0,0,-43.28471189,0,-14.84047265
13/3/2022,517.5746842,-52.54723673,465.0274475,0,0,-37.70676408,0,-14.84047265
14/3/2022,800,-57.26058224,742.7394178,0,0,-42.42010959,0,-14.84047265
15/3/2022,800,-54.41506638,745.5849336,0,0,-39.57459373,0,-14.84047265
16/3/2022,800,-56.08224586,743.9177541,0,0,-41.24177321,0,-14.84047265
17/3/2022,800,-56.08224586,743.9177541,0,0,-41.24177321,0,-14.84047265
18/3/2022,800,-53.72557311,746.2744269,0,0,-38.88510046,0,-14.84047265
19/3/2022,517.5746842,-57.26058224,460.314102,0,0,-42.42010959,0,-14.84047265
20/3/2022,517.5746842,-56.88847849,460.6862057,0,0,-42.04800584,0,-14.84047265
21/3/2022,800,-52.54723673,747.4527633,0,0,-37.70676408,0,-14.84047265
22/3/2022,800,-53.72557311,746.2744269,0,0,-38.88510046,0,-14.84047265
23/3/2022,800,-55.65177243,744.3482276,0,0,-40.81129978,0,-14.84047265
24/3/2022,800,-51.94165427,748.0583457,0,0,-37.10118162,0,-14.84047265
25/3/2022,800,-52.54723673,747.4527633,0,0,-37.70676408,0,-14.84047265
26/3/2022,517.5746842,-57.26058224,460.314102,0,0,-42.42010959,0,-14.84047265
27/3/2022,517.5746842,-58.12518454,459.4494997,0,0,-43.28471189,0,-14.84047265
28/3/2022,800,-51.94165427,748.0583457,0,0,-37.10118162,0,-14.84047265
29/3/2022,800,-54.90390949,745.0960905,0,0,-40.06343684,0,-14.84047265
30/3/2022,800,-59.3618906,740.6381094,0,0,-44.52141795,0,-14.84047265
31/3/2022,800,-53.17836033,746.8216397,0,0,-38.33788768,0,-14.84047265
1/4/2022,800,-1701.225274,-901.225274,-91.14351385,0,-38.88510046,-1556.356187,-14.84047265
2/4/2022,517.5746842,-56.08224586,461.4924383,0,0,-41.24177321,0,-14.84047265
3/4/2022,517.5746842,-52.54723673,465.0274475,0,0,-37.70676408,0,-14.84047265
4/4/2022,800,-51.94165427,748.0583457,0,0,-37.10118162,0,-14.84047265
5/4/2022,800,-51.24121815,748.7587819,0,0,-37.10118162,0,-14.14003653
6/4/2022,800,-51.84680061,748.1531994,0,0,-37.70676408,0,-14.14003653
7/4/2022,800,-53.72557311,746.2744269,0,0,-38.88510046,0,-14.84047265
8/4/2022,800,-50.66846423,749.3315358,0,0,-36.5284277,0,-14.14003653
9/4/2022,517.5746842,-56.08224586,461.4924383,0,0,-41.24177321,0,-14.84047265
10/4/2022,517.5746842,-57.26058224,460.314102,0,0,-42.42010959,0,-14.84047265
11/4/2022,800,-779.1232051,20.87679491,0,-347.3703112,-40.06343684,-376.8489844,-14.84047265
12/4/2022,800,-667.5628658,132.4371342,0,-312.2416525,-39.57459373,-300.9061469,-14.84047265
13/4/2022,800,-57.26058224,742.7394178,0,0,-42.42010959,0,-14.84047265
14/4/2022,800,-55.38180974,744.6181903,0,0,-41.24177321,0,-14.14003653
15/4/2022,800,-55.65177243,744.3482276,0,0,-40.81129978,0,-14.84047265
16/4/2022,517.5746842,-56.88847849,460.6862057,0,0,-42.04800584,0,-14.84047265
17/4/2022,517.5746842,-54.41506638,463.1596178,0,0,-39.57459373,0,-14.84047265
18/4/2022,800,-49.46824216,750.5317578,0,0,-34.62776951,0,-14.84047265
19/4/2022,800,-51.36890035,748.6310997,0,0,-36.5284277,0,-14.84047265
20/4/2022,800,-51.84680061,748.1531994,0,0,-37.70676408,0,-14.14003653
21/4/2022,800,-55.65177243,744.3482276,0,0,-40.81129978,0,-14.84047265
22/4/2022,800,-55.65177243,744.3482276,0,0,-40.81129978,0,-14.84047265
23/4/2022,517.5746842,-59.3618906,458.2127936,0,0,-44.52141795,0,-14.84047265
24/4/2022,517.5746842,-58.12518454,459.4494997,0,0,-43.28471189,0,-14.84047265
25/4/2022,800,-57.26058224,742.7394178,0,0,-42.42010959,0,-14.84047265
26/4/2022,800,-53.72557311,746.2744269,0,0,-38.88510046,0,-14.84047265
27/4/2022,800,-59.3618906,740.6381094,0,0,-44.52141795,0,-14.84047265
28/4/2022,800,-51.94165427,748.0583457,0,0,-37.10118162,0,-14.84047265
29/4/2022,800,-51.84680061,748.1531994,0,0,-37.70676408,0,-14.14003653
30/4/2022,517.5746842,-54.90390949,462.6707747,0,0,-40.06343684,0,-14.84047265
1/5/2022,517.5746842,-1699.441355,-1181.866671,-91.14351385,0,-37.10118162,-1556.356187,-14.84047265
2/5/2022,800,-55.38180974,744.6181903,0,0,-41.24177321,0,-14.14003653
3/5/2022,800,-49.46824216,750.5317578,0,0,-34.62776951,0,-14.84047265
4/5/2022,800,-53.71463026,746.2853697,0,0,-39.57459373,0,-14.14003653
5/5/2022,800,-54.41506638,745.5849336,0,0,-39.57459373,0,-14.84047265
6/5/2022,800,-58.12518454,741.8748155,0,0,-43.28471189,0,-14.84047265
7/5/2022,517.5746842,-54.90390949,462.6707747,0,0,-40.06343684,0,-14.84047265
8/5/2022,517.5746842,-58.12518454,459.4494997,0,0,-43.28471189,0,-14.84047265
9/5/2022,800,-48.44628186,751.5537181,0,0,-35.86447557,0,-12.58180629
10/5/2022,800,-59.3618906,740.6381094,0,0,-44.52141795,0,-14.84047265
11/5/2022,800,-48.76780604,751.232194,0,0,-34.62776951,0,-14.14003653
12/5/2022,800,-51.36890035,748.6310997,0,0,-36.5284277,0,-14.84047265
13/5/2022,800,-59.3618906,740.6381094,0,0,-44.52141795,0,-14.84047265
14/5/2022,517.5746842,-56.88847849,460.6862057,0,0,-42.04800584,0,-14.84047265
15/5/2022,517.5746842,-54.90390949,462.6707747,0,0,-40.06343684,0,-14.84047265
16/5/2022,800,-50.0045121,749.9954879,0,0,-35.86447557,0,-14.14003653
17/5/2022,800,-54.95133631,745.0486637,0,0,-40.81129978,0,-14.14003653
18/5/2022,800,-48.31179148,751.6882085,0,0,-34.17175495,0,-14.14003653
19/5/2022,800,-53.17836033,746.8216397,0,0,-38.33788768,0,-14.84047265
20/5/2022,800,-50.70494822,749.2950518,0,0,-35.86447557,0,-14.84047265
21/5/2022,517.5746842,-56.88847849,460.6862057,0,0,-42.04800584,0,-14.84047265
22/5/2022,517.5746842,-54.90390949,462.6707747,0,0,-40.06343684,0,-14.84047265
23/5/2022,800,-56.08224586,743.9177541,0,0,-41.24177321,0,-14.84047265
24/5/2022,800,-52.54723673,747.4527633,0,0,-37.70676408,0,-14.84047265
25/5/2022,800,-54.41506638,745.5849336,0,0,-39.57459373,0,-14.84047265
26/5/2022,800,-53.17836033,746.8216397,0,0,-38.33788768,0,-14.84047265
27/5/2022,800,-50.70494822,749.2950518,0,0,-35.86447557,0,-14.84047265
28/5/2022,517.5746842,-54.90390949,462.6707747,0,0,-40.06343684,0,-14.84047265
29/5/2022,517.5746842,-58.12518454,459.4494997,0,0,-43.28471189,0,-14.84047265
30/5/2022,800,-57.26058224,742.7394178,0,0,-42.42010959,0,-14.84047265
31/5/2022,800,-52.54723673,747.4527633,0,0,-37.70676408,0,-14.84047265
1/6/2022,800,-1696.014115,-896.0141145,-91.14351385,0,-33.67394103,-1556.356187,-14.84047265
2/6/2022,800,-49.49012786,750.5098721,0,0,-35.35009133,0,-14.14003653
3/6/2022,800,-56.88847849,743.1115215,0,0,-42.04800584,0,-14.84047265
4/6/2022,517.5746842,-53.17836033,464.3963239,0,0,-38.33788768,0,-14.84047265
5/6/2022,517.5746842,-53.17836033,464.3963239,0,0,-38.33788768,0,-14.84047265
6/6/2022,800,-53.02513699,746.974863,0,0,-38.88510046,0,-14.14003653
7/6/2022,800,-56.88847849,743.1115215,0,0,-42.04800584,0,-14.84047265
8/6/2022,800,-53.02513699,746.974863,0,0,-38.88510046,0,-14.14003653
9/6/2022,800,-51.24121815,748.7587819,0,0,-37.10118162,0,-14.14003653
10/6/2022,800,-56.18804237,743.8119576,0,0,-42.04800584,0,-14.14003653
11/6/2022,517.5746842,-54.41506638,463.1596178,0,0,-39.57459373,0,-14.84047265
12/6/2022,517.5746842,-59.3618906,458.2127936,0,0,-44.52141795,0,-14.84047265
13/6/2022,800,-54.90390949,745.0960905,0,0,-40.06343684,0,-14.84047265
14/6/2022,800,-49.49012786,750.5098721,0,0,-35.35009133,0,-14.14003653
15/6/2022,800,-51.24121815,748.7587819,0,0,-37.10118162,0,-14.14003653
16/6/2022,800,-55.65177243,744.3482276,0,0,-40.81129978,0,-14.84047265
17/6/2022,800,-53.17836033,746.8216397,0,0,-38.33788768,0,-14.84047265
18/6/2022,517.5746842,-59.3618906,458.2127936,0,0,-44.52141795,0,-14.84047265
19/6/2022,517.5746842,-55.65177243,461.9229118,0,0,-40.81129978,0,-14.84047265
20/6/2022,800,-53.71463026,746.2853697,0,0,-39.57459373,0,-14.14003653
21/6/2022,800,-49.47652628,750.5234737,0,0,-34.63605363,0,-14.84047265
22/6/2022,800,-56.88847849,743.1115215,0,0,-42.04800584,0,-14.84047265
23/6/2022,800,-58.66145448,741.3385455,0,0,-44.52141795,0,-14.14003653
24/6/2022,800,-50.19056398,749.809436,0,0,-35.35009133,0,-14.84047265
25/6/2022,517.5746842,-59.3618906,458.2127936,0,0,-44.52141795,0,-14.84047265
26/6/2022,517.5746842,-57.26058224,460.314102,0,0,-42.42010959,0,-14.84047265
27/6/2022,800,-56.56014612,743.4398539,0,0,-42.42010959,0,-14.14003653
28/6/2022,800,-54.95133631,745.0486637,0,0,-40.81129978,0,-14.14003653
29/6/2022,800,-48.31179148,751.6882085,0,0,-34.17175495,0,-14.14003653
30/6/2022,800,-53.71463026,746.2853697,0,0,-39.57459373,0,-14.14003653
1/7/2022,800,-1699.346501,-899.3465015,-91.14351385,0,-37.70676408,-1556.356187,-14.14003653
2/7/2022,517.5746842,-56.08224586,461.4924383,0,0,-41.24177321,0,-14.84047265
3/7/2022,517.5746842,-54.90390949,462.6707747,0,0,-40.06343684,0,-14.84047265
4/7/2022,800,-53.17836033,746.8216397,0,0,-38.33788768,0,-14.84047265
5/7/2022,800,-55.86651818,744.1334818,0,0,-43.28471189,0,-12.58180629
6/7/2022,800,-54.41506638,745.5849336,0,0,-39.57459373,0,-14.84047265
7/7/2022,800,-50.70494822,749.2950518,0,0,-35.86447557,0,-14.84047265
8/7/2022,800,-54.41506638,745.5849336,0,0,-39.57459373,0,-14.84047265
9/7/2022,517.5746842,-58.12518454,459.4494997,0,0,-43.28471189,0,-14.84047265
10/7/2022,517.5746842,-56.08224586,461.4924383,0,0,-41.24177321,0,-14.84047265
11/7/2022,800,-57.26058224,742.7394178,0,0,-42.42010959,0,-14.84047265
12/7/2022,800,-53.72557311,746.2744269,0,0,-38.88510046,0,-14.84047265
13/7/2022,800,-47.53109999,752.4689,0,0,-33.39106346,0,-14.14003653
14/7/2022,800,-50.83697153,749.1630285,0,0,-36.696935,0,-14.14003653
15/7/2022,800,-58.12518454,741.8748155,0,0,-43.28471189,0,-14.84047265
16/7/2022,517.5746842,-53.72557311,463.8491111,0,0,-38.88510046,0,-14.84047265
17/7/2022,517.5746842,-59.3618906,458.2127936,0,0,-44.52141795,0,-14.84047265
18/7/2022,800,-56.88847849,743.1115215,0,0,-42.04800584,0,-14.84047265
19/7/2022,800,-52.54723673,747.4527633,0,0,-37.70676408,0,-14.84047265
20/7/2022,800,-52.54723673,747.4527633,0,0,-37.70676408,0,-14.84047265
21/7/2022,800,-50.0045121,749.9954879,0,0,-35.86447557,0,-14.14003653
22/7/2022,800,-50.66846423,749.3315358,0,0,-36.5284277,0,-14.14003653
23/7/2022,517.5746842,-57.26058224,460.314102,0,0,-42.42010959,0,-14.84047265
24/7/2022,517.5746842,-53.17836033,464.3963239,0,0,-38.33788768,0,-14.84047265
25/7/2022,800,-55.65177243,744.3482276,0,0,-40.81129978,0,-14.84047265
26/7/2022,800,-55.38180974,744.6181903,0,0,-41.24177321,0,-14.14003653
