employerId,Week_Num,Num_of_Employees,Num_of_Jobs,avgPay,Pay_Group,location,buildingId,HiredRate
379,1,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,2,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,3,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,4,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,5,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,6,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,7,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,8,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,9,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,10,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,11,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,12,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,13,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,14,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,15,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,16,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,17,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,18,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,19,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,20,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,21,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,22,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,23,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,24,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,25,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,26,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,27,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,28,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,29,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,30,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,31,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,32,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,33,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,34,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,35,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,36,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,37,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,38,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,39,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,40,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,41,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,42,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,43,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,44,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,45,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,46,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,47,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,48,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,49,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,50,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,51,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,52,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,53,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,54,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,55,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,56,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,57,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,58,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,59,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,60,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,61,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,62,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,63,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,64,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
379,65,1,2,16.10881668,$16-35(Mid),POINT (-1849.997168394888 1744.6010147106394),823,50
381,1,4,4,20.03430118,$16-35(Mid),POINT (877.2786575380362 1358.5441805909259),279,100
